Data, Gold 
05/ago/19,1509.60
02/ago/19,1492.30
01/ago/19,1468.50
31/jul/19,1473.30
30/jul/19,1477.30
29/jul/19,1468.50
26/jul/19,1467.20
25/jul/19,1461.20
24/jul/19,1469.70
23/jul/19,1467.60
22/jul/19,1472.80
19/jul/19,1472.30
18/jul/19,1474.00
17/jul/19,1469.30
16/jul/19,1456.60
15/jul/19,1458.40
12/jul/19,1457.00
11/jul/19,1451.40
10/jul/19,1456.60
09/jul/19,1444.40
08/jul/19,1443.40
05/jul/19,1442.70
04/jul/19,1423.55
03/jul/19,1462.10
02/jul/19,1448.90
01/jul/19,1429.70
28/jun/19,1452.90
27/jun/19,1450.60
26/jun/19,1453.90
25/jun/19,1457.40
24/jun/19,1457.00
21/jun/19,1439.00
20/jun/19,1436.00
19/jun/19,1391.20
18/jun/19,1394.80
17/jun/19,1387.00
14/jun/19,1388.90
13/jun/19,1388.10
12/jun/19,1381.20
11/jun/19,1376.40
10/jun/19,1374.30
07/jun/19,1389.30
06/jun/19,1385.90
05/jun/19,1377.60
04/jun/19,1373.90
03/jun/19,1372.90
31/mai/19,1357.50
30/mai/19,1341.40
29/mai/19,1326.50
28/mai/19,1323.30
27/mai/19,1284.95
26/mai/19,1284.15
24/mai/19,1330.10
23/mai/19,1331.80
22/mai/19,1321.30
21/mai/19,1320.10
20/mai/19,1324.20
17/mai/19,1322.50
16/mai/19,1333.10
15/mai/19,1344.50
14/mai/19,1343.40
13/mai/19,1350.20
10/mai/19,1337.20
09/mai/19,1335.10
08/mai/19,1331.40
07/mai/19,1335.80
06/mai/19,1334.00
03/mai/19,1331.70
02/mai/19,1322.20
01/mai/19,1334.20
30/abr/19,1335.70
29/abr/19,1331.60
26/abr/19,1339.20
25/abr/19,1330.20
24/abr/19,1329.90
23/abr/19,1323.80
22/abr/19,1328.50
19/abr/19,1277.90
18/abr/19,1326.90
17/abr/19,1327.60
16/abr/19,1328.10
15/abr/19,1342.40
12/abr/19,1346.30
11/abr/19,1343.40
10/abr/19,1363.90
09/abr/19,1358.40
08/abr/19,1351.90
